Name,Type,HP,Attack,Defense,Speed,Sp. Atk
Pawniard,Dark,45,85,70,60,40
Bisharp,Dark,65,125,100,70,60
Bouffalant,Normal,95,110,95,55,40
Rufflet,Normal,70,83,50,60,37
Braviary,Normal,100,123,75,80,57
Vullaby,Dark,70,55,75,60,45
Mandibuzz,Dark,110,65,105,80,55
Heatmor,Fire,85,97,66,65,105
Durant,Bug,58,109,112,109,48
Deino,Dark,52,65,50,38,45
Zweilous,Dark,72,85,70,58,65
Hydreigon,Dark,92,105,90,98,125
Larvesta,Bug,55,85,55,60,50
Volcarona,Bug,85,60,65,100,135
Cobalion,Steel,91,90,129,108,90
Terrakion,Rock,91,129,90,108,72
Virizion,Grass,91,90,72,108,90
TornadusIncarnate Forme,Flying,79,115,70,111,125
TornadusTherian Forme,Flying,79,100,80,121,110
ThundurusIncarnate Forme,Electric,79,115,70,111,125
ThundurusTherian Forme,Electric,79,105,70,101,145
Reshiram,Dragon,100,120,100,90,150
Zekrom,Dragon,100,150,120,90,120
LandorusIncarnate Forme,Ground,89,125,90,101,115
LandorusTherian Forme,Ground,89,145,90,91,105
Kyurem,Dragon,125,130,90,95,130
KyuremBlack Kyurem,Dragon,125,170,100,95,120
KyuremWhite Kyurem,Dragon,125,120,90,95,170
KeldeoOrdinary Forme,Water,91,72,90,108,129
KeldeoResolute Forme,Water,91,72,90,108,129
MeloettaAria Forme,Normal,100,77,77,90,128
MeloettaPirouette Forme,Normal,100,128,90,128,77
Genesect,Bug,71,120,95,99,120
Chespin,Grass,56,61,65,38,48
Quilladin,Grass,61,78,95,57,56
Chesnaught,Grass,88,107,122,64,74
Fennekin,Fire,40,45,40,60,62
Braixen,Fire,59,59,58,73,90
Delphox,Fire,75,69,72,104,114
Froakie,Water,41,56,40,71,62
Frogadier,Water,54,63,52,97,83
Greninja,Water,72,95,67,122,103
Bunnelby,Normal,38,36,38,57,32
Diggersby,Normal,85,56,77,78,50
Fletchling,Normal,45,50,43,62,40
Fletchinder,Fire,62,73,55,84,56
Talonflame,Fire,78,81,71,126,74
Scatterbug,Bug,38,35,40,35,27
Spewpa,Bug,45,22,60,29,27
Vivillon,Bug,80,52,50,89,90
Litleo,Fire,62,50,58,72,73
Pyroar,Fire,86,68,72,106,109
Flabébé,Fairy,44,38,39,42,61
Floette,Fairy,54,45,47,52,75
Florges,Fairy,78,65,68,75,112
Skiddo,Grass,66,65,48,52,62
Gogoat,Grass,123,100,62,68,97
Pancham,Fighting,67,82,62,43,46
Pangoro,Fighting,95,124,78,58,69
Furfrou,Normal,75,80,60,102,65
Espurr,Psychic,62,48,54,68,63
MeowsticMale,Psychic,74,48,76,104,83
MeowsticFemale,Psychic,74,48,76,104,83
Honedge,Steel,45,80,100,28,35
Doublade,Steel,59,110,150,35,45
AegislashBlade Forme,Steel,60,150,50,60,150
AegislashShield Forme,Steel,60,50,150,60,50
Spritzee,Fairy,78,52,60,23,63
Aromatisse,Fairy,101,72,72,29,99
Swirlix,Fairy,62,48,66,49,59
Slurpuff,Fairy,82,80,86,72,85
Inkay,Dark,53,54,53,45,37
Malamar,Dark,86,92,88,73,68
Binacle,Rock,42,52,67,50,39
Barbaracle,Rock,72,105,115,68,54
Skrelp,Poison,50,60,60,30,60
Dragalge,Poison,65,75,90,44,97
Clauncher,Water,50,53,62,44,58
Clawitzer,Water,71,73,88,59,120
Helioptile,Electric,44,38,33,70,61
Heliolisk,Electric,62,55,52,109,109
Tyrunt,Rock,58,89,77,48,45
Tyrantrum,Rock,82,121,119,71,69
Amaura,Rock,77,59,50,46,67
Aurorus,Rock,123,77,72,58,99
Sylveon,Fairy,95,65,65,60,110
Hawlucha,Fighting,78,92,75,118,74
Dedenne,Electric,67,58,57,101,81
Carbink,Rock,50,50,150,50,50
Goomy,Dragon,45,50,35,40,55
Sliggoo,Dragon,68,75,53,60,83
Goodra,Dragon,90,100,70,80,110
Klefki,Steel,57,80,91,75,80
Phantump,Ghost,43,70,48,38,50
Trevenant,Ghost,85,110,76,56,65
PumpkabooAverage Size,Ghost,49,66,70,51,44
PumpkabooSmall Size,Ghost,44,66,70,56,44
PumpkabooLarge Size,Ghost,54,66,70,46,44
PumpkabooSuper Size,Ghost,59,66,70,41,44
GourgeistAverage Size,Ghost,65,90,122,84,58
GourgeistSmall Size,Ghost,55,85,122,99,58
GourgeistLarge Size,Ghost,75,95,122,69,58
GourgeistSuper Size,Ghost,85,100,122,54,58
Bergmite,Ice,55,69,85,28,32
Avalugg,Ice,95,117,184,28,44
Noibat,Flying,40,30,35,55,45
Noivern,Flying,85,70,80,123,97
Xerneas,Fairy,126,131,95,99,131
Yveltal,Dark,126,131,95,99,131
Zygarde50% Forme,Dragon,108,100,121,95,81
Diancie,Rock,50,100,150,50,100
DiancieMega Diancie,Rock,50,160,110,110,160
HoopaHoopa Confined,Psychic,80,110,60,70,150
HoopaHoopa Unbound,Psychic,80,160,60,80,170
Volcanion,Fire,80,110,120,70,130
